Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,Collection
SK0000001-UK,ISA NT-114/500 AZ Telescope,"<p><strong>Start your journey into space exploration with this ISA Space Exploration NASA-themed Telescope NT-114/500 AZ. This high-quality reflecting telescope combines powerful optics with a compact design – perfect for beginners and star enthusiasts who like to travel light or are looking for a simple starter telescope to take a first step into the fascinating science of Astronomy.</strong></p>
<p><strong>Stunning views through excellent wide-field optics:</strong></p>
<p>From different structures of the Milky Way to open star clusters and vast nebulae, the telescope’s high light-gathering aperture and short focal length offer impressive wide-field views of many celestial objects both within and beyond our solar system. With the included 26mm and 5mm eyepieces, various Solar System objects are displayed at 20x and 100x magnification. Enjoy extremely sharp images of the moon as well as some impressive views of the larger planets such as Jupiter &amp; Saturn thanks to the diffraction-limited primary mirror. The 40mm secondary mirror ensures optimal field illumination. </p>
<p><strong>Easy entry into astronomy with the telescope:</strong></p>
<p>From the moment you unpack it, your telescope is ready to use. Simply set it up and start exploring the universe – this beginner’s telescope arrives almost fully assembled. The user-friendly azimuth mount allows you to easily swing from one object to another, just like a regular camera tripod. The optics remain stable on the robust, height-adjustable stainless steel tripod.</p>
<p><strong>See and experience even more with the included telescope accessories:</strong></p>
<p>In addition to the essential accessories, this reflector telescope includes extra highlights for your night sky explorations. You can even capture and share your astronomical discoveries with the smartphone holder to take unique photos of the night sky with your phone. Or use the T2 camera adapter ring to connect your SLR or astro camera with a specific adapter (not included). And what about our own star (our Sun)? With the included solar filter, you can safely observe transits, eclipses, and sunspots through your telescope.</p>
<p>Make your dream of exploring space a reality now – with the ISA Space Exploration NASA-themed Telescope NT-114/500 AZ.</p>
<p><strong>Features:</strong><br></p>
<ul>
<li>High-quality, compact reflecting telescope<br>
</li>
<li>Wide-field optics, ideal for travel<br>
</li>
<li>Large 40mm secondary mirror for ideal field illumination<br>
</li>
<li>Excellent sharpness thanks to the diffraction-limited primary mirror<br>
</li>
<li>Magnification with included accessories: 20x, 100x (max. recommended: 228x)<br>
</li>
<li>Focal length, aperture ratio: 500 mm, f/4.4<br>
</li>
<li>Easy-to-use azimuth mount<br>
</li>
<li>Height-adjustable stainless steel field tripod<br>
</li>
<li>Suitable for solar observation with safe solar filter<br>
</li>
<li>Smartphone camera adapter for first astrophotos<br>
</li>
<li>Stable eyepiece holder<br>
</li>
<li>Eyepiece holder diameter: 31.7 mm (1.25"")</li>
</ul>
<p><em>Whats included:</em><br></p>
<ol>
<li>Reflecting telescope<br>
</li>
<li>Azimuth telescope mount<br>
</li>
<li>Stainless steel tripod with accessory tray<br>
</li>
<li>2 eyepieces: Super Plössl 26 mm, Plössl 5 mm<br>
</li>
<li>LED red dot finder<br>
</li>
<li>Solar filter<br>
</li>
<li>Smartphone camera adapter<br>
</li>
<li>T2 camera adapter ring (M42x0.75 mm)<br>
</li>
<li>Software (downloadable)<br>
</li>
<li>Rotatable star chart</li>
<li>Battery<br>
</li>
<li>Instruction manual</li>
</ol>
 ",,, Telescopes for Beginners ,,TRUE,,,,,,,,,,,,,100.78,201.57,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Beginner-Telescope-Bresser-NT114-500_1.jpg?v=1720455248,1,,,,,,,,,,,,,,,,,,,,,, Telescopes for Beginners 
SK0000001-UK,,,,,,,,,,,,,,,,,,,,100.78,201.57,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Beginner-Telescope-Bresser-NT114-500.jpg?v=1720455248,2,,,,,,,,,,,,,,,,,,,,,,
SK0000001-UK,,,,,,,,,,,,,,,,,,,,100.78,201.57,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Beginner-Telescope-Bresser-NT114-500_5.jpg?v=1720455248,3,,,,,,,,,,,,,,,,,,,,,,
SK0000001-UK,,,,,,,,,,,,,,,,,,,,100.78,201.57,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Beginner-Telescope-Bresser-NT114-500_6.jpg?v=1720455248,4,,,,,,,,,,,,,,,,,,,,,,
SK0000001-UK,,,,,,,,,,,,,,,,,,,,100.78,201.57,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Beginner-Telescope-Bresser-NT114-500_3.jpg?v=1720455248,5,,,,,,,,,,,,,,,,,,,,,,
SK0000001-UK,,,,,,,,,,,,,,,,,,,,100.78,201.57,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Beginner-Telescope-Bresser-NT114-500_4.jpg?v=1720455248,6,,,,,,,,,,,,,,,,,,,,,,
SK0000001-UK,,,,,,,,,,,,,,,,,,,,100.78,201.57,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Beginner-Telescope-Bresser-NT114-500_2.jpg?v=1720455249,7,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,Celestron StarSense Explorer - LT80AZ,"<p><strong>Celestron has reinvented the manual telescope with the StarSense Explorer - the first telescope that uses your smartphone to analyze the night sky and calculate its position in real time. The StarSense Explorer is ideal for beginners thanks to its user-friendly interface and detailed tutorials. It's like having your own personal guide to the night sky.</strong></p>
<p><em>Dock, launch, explore:</em><br>Leave complicated star charts, imprecise planetarium programs, and computerized mounts behind. With the StarSense Explorer, finding objects has never been easier, faster, and more accurate. Within minutes of setting up the telescope, you can begin moving confidently in the sky.</p>
<p>Simply place your phone in the unique StarSense Dock and launch the StarSense Explorer app. After aiming your phone at the telescope's optics (which can be done in two minutes), the StarSense Explorer generates a list of currently visible celestial objects. Make your selection, and arrows appear on the screen to help you move the telescope. When the object is visible in the eyepiece, the crosshairs turn green.</p>
<p><em>Smartphone compatibility:</em><br>StarSense Explorer works with most current smartphones, including iPhone 6 and newer and most devices running Android 7.1.2 or higher manufactured since 2016. For a full compatibility list, click here .</p>
<p><em>Patent pending StarSense Sky technology:</em><br>StarSense Explorer uses patent-pending technology and your smartphone to determine exactly where the telescope is pointed in the night sky. A Lost-in-Space Algorithm (LISA), the same algorithm used by orbiting satellites to correctly reorient themselves, helps the app match the star patterns it detects with its internal database.</p>
<p>While other astronomy apps claim to help you find objects, they rely solely on the phone's compass, gyroscopes, and accelerometers, which are not as accurate as LISA's technology. No other app can tell you exactly when your target will be visible in the eyepiece.</p>
<p><em>Robust azimuthal mount:</em><br>The StarSense Explorer LT's intuitive alt-azimuth mount makes it easy to point the telescope at the target. A fine adjustment knob for the altitude axis helps you fine-tune the telescope to the object and track targets as the Earth rotates beneath the night sky. Everything is mounted on a large, height-adjustable tripod.<br></p>
<p>Perfect views with high-quality optics:<br>You can expect sharp, bright images through this 80mm refractor. The fully coated glass optics provide increased light transmission, making details in celestial objects more clearly visible. The telescope also features a 90-degree prism for an erect image, allowing you to observe nature during the day including birds, wildlife, scenery and more.</p>
<p>Perfect for the city as well as dark locations:<br>Even if you live in a place with slightly bright skies and moderate light pollution, the StarSense Explorer is powerful enough to locate Jupiter, Saturn, Venus, the Orion Nebula, binary stars, and some of the most famous celestial objects.</p>
<p>However, if you can move the telescope to a slightly darker location, even more objects will become visible. The entire telescope weighs just 4.17kg, making it perfectly portable and easy to take with you on your next camping trip or to a remote observing site.</p>
<p><strong>Specs:</strong><br></p>
<ul>
<li>Optical Design: Refractor<br>
</li>
<li>Resolution (DAWES): 1.45 arcseconds<br>
</li>
<li>Resolution (RAYLEIGH): 1.74 arcseconds<br>
</li>
<li>Focal length: 900mm (35.43"")<br>
</li>
<li>Limit size: 12<br>
</li>
<li>Highest useful magnification: x189<br>
</li>
<li>Light gathering capacity (compared to the human eye): x 131<br>
</li>
<li>Lowest useful magnification: x11<br>
</li>
<li>Telescope aperture: 80mm (3.1"")<br>
</li>
<li>Tube (material): Aluminum<br>
</li>
<li>Tube weight: 2.45kg<br>
</li>
<li>Tube size (max): 90mm (3.54"")<br>
</li>
<li>Tube length: 97cm (38"")<br>
</li>
<li>Fully coated glass optics<br>
</li>
<li>Aperture ratio: f/11</li>
</ul>
<p><strong>Mount Spec:</strong><br></p>
<ul>
<li>Alignment Methods: StarSense Explorer App<br>
</li>
<li>Mount type: Azimuthal mount (manual)<br>
</li>
<li>Mount control: Manual<br>
</li>
<li>Dovetail: no<br>
</li>
<li>Dovetail compatible: CG-5 dovetail rail<br>
</li>
<li>Panning speed: Manually<br>
</li>
<li>Features: StarSense Explorer App, SkyPortal App, Celestron Starry Night Basic Edition Software</li>
</ul>
<p><em>Whats included:</em></p>
<ol>
<li>
<em>Refractor Telescope</em><br><em></em>
</li>
<li>
<em>StarSense Smartphone Dock</em><br><em></em>
</li>
<li>
<em>Eyepiece with low (25 mm) and high magnification (10 mm) </em><br><em></em>
</li>
<li>
<em>2x Barlow lens to double the magnification of each eyepiece</em><br><em></em>
</li>
<li>
<em>Amici prism – straightens the image by 90° and displays it the right way round </em><em>(1.25"")</em><br><em></em>
</li>
<li>
<em>StarPointer finderscope, perfect for using the telescope during the day or without the StarSense Explorer app</em><br><em></em>
</li>
<li>
<em>Altazimuth mount with fine drive</em><br>
</li>
<li>Large tripod with accessory tray</li>
</ol>",,, Telescopes for Beginners ,,TRUE,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_13.webp?v=1727283811,1,,,,,,,,,,,,,,,,,,,,,, Telescopes for Beginners 
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_2.webp?v=1727283810,2,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_3.webp?v=1727283811,3,,,,,,,,,,,,,,,,,,,,,,
