SKU,Name,Categories,Regular price,Sale price,Attribute 1 value(s),Attribute 1 name,Images,ImagesUrl,Tags,PageUrl,Description
SK0000001-US,W‘s SolarFlex® Hoody Full-Zip,New Arrivals/All New Arrivals,89.95,26.98,Color#Watermelon|Neptune~   Size#XS|S|M|L|XL|2XL,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/CEF5CB97-6930-80D9-66BB-713B5D1F307E.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/29ECD3DC-0046-BFFD-B3C0-71062F950344.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/4EB16FD5-BED8-C56A-3740-B9078FC36FEB.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/4A1B745F-BDA3-9468-FD50-47D234E64F7C.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/320E72D5-A8DE-413F-1869-402512C7819A.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/2317A198-9F2C-458A-E26D-72DF102922BC.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/66386F68-1E0E-8560-8BAD-7D7C7D00D966.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/105419FE-91A9-63FF-2336-2BDA0771F037.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/A8A7CFA1-7626-6EC6-C2CA-29FF6AEECA90.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/6C0662A3-0D67-5BEE-A1D1-B5EBBF9C49A0.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/2794DDEF-29D0-5804-AC1E-CDEFE5A39632.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/1644913C-EF0A-7A75-A8F6-8E7B3322A632.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/2294B438-42D2-F694-BBD9-A5134A5776F2.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/womens-solarflex-hoody-full-zip?data_from=collection_detail,<p>Your perfect hot weather non-sweater. the Simms SolarFlex® Hoody Full-Zip equips you with high-tech UPF 50+ sun protection powered by a front zip that encourages open-air intake.</p><ul><li>3-panel hood for full sun protection and adjustable drawcords for stay-put performance</li><li>Full zip. center front closure for easy venting and layering in hot environments</li><li>Extended sleeve length with envelope thumbholes and a center finger loop for back-of-hand sun protection</li><li>Left side body envelope pocket perfect for storing a phone or other essentials</li><li>Gusseted under sleeve/side panel for maximum reach</li></ul><p><b>FABRIC TECH:</b></p><p>Body - 92% polyester/ 8% spandex 143 gsm single jersey knit finished with HeiQ Fresh FFL. MM and Stain Away</p><p>ITEM #: PG-13928</p></div> </li> <br>
SK0000002-US,W‘s Solar Sombrero,New Arrivals/All New Arrivals,49.95,14.98,Color#Sterling~   Size#One Size,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/A80812A0-62D1-A82B-55CC-BC1449359D59.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/BB77563D-5AF1-200E-1F25-BC3BA4B7CC65.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/E2083D9B-3935-1ABE-7284-17E2C2C0781F.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/499DA13F-719C-6E3D-2936-1C61AAA6FA3E.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/0D2CC27F-9AE5-BFFB-7F3E-9132AA0FFC13.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/371C784B-4D6F-51D8-A369-43825E2127E6.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/8888E429-ACFC-0D4C-5400-B491877B27D1.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/84ACEDFF-6F39-C3DA-255E-21494105D5F2.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/womens-solar-sombrero?data_from=collection_detail,<p>The easy-wearing Women's Solar Sombrero breezes through record highs thanks to a lightweight. moisture-wicking build that provides full coverage for your head and neck.</p><ul><li>Nylon fabric with DWR finish provides UPF 50+ protection</li><li>Adjustable stampede strap</li><li>Easy fit elastic sweatband for comfort and range of fit</li><li>Foam brim for floatation</li><li>Black underbrim for glare reduction</li></ul><p><b>FABRIC TECH:</b></p><p>100% nylon Tactel®; Teflon® DWR water-resistant finish</p><p>ITEM #: PG-13969</p></div> </li> <br>
SK0000003-US,Bugstopper SunShield Cap,New Arrivals/All New Arrivals,64.95,19.48,Color#Stone~   Size#One Size,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/D397324F-B675-1AAB-670D-2E08BBBAE407.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/E74A383D-56A3-8048-92B0-84E50FA02F96.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/C24E5FF5-8CC3-E406-3517-0FB525CF9547.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/3F0AB1C2-6653-E186-6B63-FA64466E8EA2.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/bugstopper-sunshield-cap?data_from=collection_detail,<p>When fishing is the only itch you want to scratch. the long-bill Bugstopper SunShield Cap delivers lasting UPF50+ sun protection and proven Insect Shield® performance.</p><ul><li>Nylon fabric with DWR finish provides UPF50+ protection</li><li>Integrated and strategically stitched cape provides back-of-neck sun protection</li><li>Hook and loop rear closure for an adjustable fit</li><li>Black underbrim for glare reduction</li></ul><p><b>FABRIC TECH:</b></p><p>100% nylon Tactel® ; Teflon® DWR water-resistant finish and InsectShield treatment</p><p>ITEM #: PG-13971</p></div> </li> <br>
SK0000004-US,SunShield Cap,New Arrivals/All New Arrivals,59.95,17.98,Color#Sterling~   Size#One Size,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/25596045-B67B-E5A7-13FC-8DCDA6C642E2.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/888F0988-E9E3-F006-07B2-F7B0FE44B2F2.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/1EE329BA-4AC6-E71B-647A-3CEB58FD7C64.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/1F576CCB-5790-E248-08B1-DDCE07B8667F.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/sunshield-cap?data_from=collection_detail,<p>Keep fish in focus and minimize surface glare with the long-bill SunShield Cap that features a neck-protecting cape for added coverage.</p><ul><li>Nylon fabric with DWR finish provides UPF 50+ protection</li><li>Integrated and strategically stitched cape provides back-of-neck sun protection</li><li>Hook and loop rear closure for an adjustable fit</li><li>Black underbrim for glare reduction</li></ul><p><b>FABRIC TECH:</b></p><p>100% nylon Tactel® ; Teflon® DWR water-resistant finish</p><p>ITEM #: PG-13972</p></div> </li> <br>
SK0000005-US,Single Haul Small Fit Trucker,New Arrivals/All New Arrivals,34.95,10.49,Color#Neptune|Mulberry~   Size#One Size,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/F8392E5C-1EF5-17E2-2C85-16090FDC7BBD.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/A09F2BB8-95EE-8BD7-00AA-5B4B5CEF04D5.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/3426AD55-AE1E-9010-953B-B330617BEE73.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/435E8D93-6F93-95C1-A97C-107F430A7B1F.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/6F7D58E4-35A9-7523-2ADE-8F5E686EFE4A.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/EA360337-6DC2-8298-FEFA-CA282AB0D7F0.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/FAC3C5C4-EF83-1A8D-766D-59B204E81DE2.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/C7758C08-CF06-51C8-7E82-F258839F3948.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/single-haul-small-fit-trucker?data_from=collection_detail,<p>The Single Haul Small Fit Trucker brings together casual trucker style with a downsized low-crown aesthetic that pairs perfectly with your distinct point of view.</p><ul><li>Crown Fit: Low</li></ul><p><b>FABRIC TECH:</b></p><p>100% Cotton Twill; Back: 100% Polyester Mesh</p><p>ITEM #: PG-14107</p></div> </li> <br>
SK0000006-US,M‘s Solar Sombrero,New Arrivals/All New Arrivals,49.95,14.98,Color#Sterling~   Size#S/M|L/XL,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/15BD2EF5-D1B1-466C-0B76-A86CC7F6A945.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/14BADF01-389C-DCAC-299B-8C4736CDDA92.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/FC837D7B-DB39-5C67-F070-7CC73F2CA034.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/23F33312-DC51-DEEB-98E4-855573F22ED8.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/D3D8ED20-8306-0763-621D-8C67308443DB.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/FAD27C36-B37B-F2A8-D96A-3573F74532F8.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/25E54FA3-AFF0-6EA4-8BD8-819BEEC6F2FA.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/7F245AE2-609C-B043-21CB-F42DA8453E6E.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/mens-solar-sombrero?data_from=collection_detail,<p>The easy-wearing Solar Sombrero is a lightweight. moisture-wicking lid that protects your head and neck during long. hot days on the water.</p><ul><li>Nylon fabric with DWR finish provides UPF 50+ protection on top of head and brim; mesh fabric offers extra breathability</li><li>Adjustable stampede strap</li><li>Easy fit elastic sweatband for comfort and range of fit</li><li>Foam brim for floatation</li><li>Black underbrim for glare reduction</li></ul><p><b>FABRIC TECH:</b></p><p>Top of crown and brim: 100% nylon Tactel® ; Teflon® DWR water-resistant finish Side of hat panels: 100% polyester mesh</p><p>ITEM #: PG-13968</p></div> </li> <br>
SK0000007-US,Single Haul Pack Cap,New Arrivals/All New Arrivals,34.95,10.49,Color#Stone~   Size#One Size,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/8D789475-C108-CF48-DEE2-B8613C801304.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/59C09E41-92D0-98FD-65D1-650AE4EFE63E.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/2B80139D-7EFF-F91F-D438-408E9A69CF87.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/F8497A64-1D5B-3312-23EE-350AD7E65389.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/8302D243-BEBC-BBC1-685D-3523B0A9756F.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/single-haul-pack-cap?data_from=collection_detail,<p>Built for adventures near and far. the Single Haul Packable Cap is your on-the-move mainstay. featuring a crushable EVA foam brim for easy stow-and-go.</p><ul><li>Crown Fit: Low</li></ul><p><b>FABRIC TECH:</b></p><p>100% Polyester</p><p>ITEM #: PG-14039</p></div> </li> <br>
SK0000008-US,W‘s Glades Hoody,New Arrivals/All New Arrivals,89.95,26.98,Color#Cinder Heather|Dark Clover Heather|Steel Blue Heather~   Size#XS|S|M|L|XL|2XL,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/3E75AB5D-EA46-1977-CA04-3D53776D33C2.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/CF5EC6EE-75A9-5E0E-C72D-33AF8CAD791E.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/2DC19514-F314-A19D-D3D0-1DD0D72A0ED8.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/EBA2126D-96C6-9B54-5101-86094B50E076.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/810524B9-22DD-BA42-24B1-C36430FB8A8C.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/E18DE001-9AD2-EEED-C4D2-E5E8AF8A3728.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/DE923389-7CFB-B14A-79BB-4133DFA77E47.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/231E50E1-DC5F-084C-C056-8C96C18F5C95.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/B95D10C1-1896-44F3-D024-032DBD9E4365.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/7D58AAAD-6FB0-B029-AB18-1EB584FD3AA1.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/406C5F51-321C-F38A-5BF3-E3D9AFFF8D5A.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/52D155DF-65D6-2897-41FC-97AE4A648FD1.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/355E8F7C-73D7-AF22-9000-24038EC10732.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/D827102E-D2E0-3146-CE4D-BBDA87A29F08.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/1BAB7989-0FCB-E469-9BB1-161A97FC09FD.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/CEC1C77B-55FD-B386-6324-63A3CD2606E1.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/695D3A2B-9E7A-FEEE-7EE9-24CA6C9E1E45.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/08C15745-600D-1093-76D7-ADC206854756.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/CAFE67CF-CDAC-49C9-1121-D63EA361C66E.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/womens-glades-hoody?data_from=collection_detail,<p>Catch a classic in the soft. breathable and easy-wearing Glades Hoody that pairs perfectly with your regularly scheduled on- and off-the-water program.</p><ul><li>A supple. easy-wearing fabric that breaths in hot environments and feels good against the skin. Built from a recycled polyester that dries fast and is mixed with Tencel for added softness and Spandex for stretch and comfort</li><li>High neck. 3-panel hood designed for sun protection when up. versatile cowl-neck style when worn down</li><li>Extended sleeve is finished with a low-profile interior elastic thumb loop for stay-put performance</li><li>Combination of merrow seams &amp; flat-seam construction for maximum comfort</li><li>UPF 30+</li></ul><p><b>FABRIC TECH:</b></p><p>76% recycled polyester/ 19% tencel/ 5% spandex. 172 gsm - HeiQ Fresh FFL. and HeiQ Stain Away</p><p>ITEM #: PG-13929</p></div> </li> <br>
SK0000009-US,W‘s Crew Logo T-Shirt,New Arrivals/All New Arrivals,34.95,10.49,Color#Oatmeal Heather|Cinder Heather|Watermelon Heather~   Size#XS|S|M|L|XL|2XL,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/15B81471-370B-2AA2-ABD1-8D48C0FC656B.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/F6F24D1F-AB80-E26D-AB6C-D9AE5EFA980C.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/A8AB4798-0A18-E564-48B6-F680D1694C6F.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/4A37D35F-E228-2CE2-81AF-4F5C98B63E48.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/AC37BC46-A1A6-3ACB-9102-739C35EEDD66.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/2A6BE076-AAAC-3659-AAD6-9427BEAC8C8B.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/15F702C7-E9CB-B534-010F-71A45166DCF9.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/037B1715-2F87-11AB-A6C4-E82B99ECFA67.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/97CEA3FC-C229-8BC9-AA8D-C32C31871E4D.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/E1C498B4-298D-1A63-ADD0-6FE0F443B9A0.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/54F1C76B-B92E-D793-605B-E34E16E7A76E.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/FD01C6D6-B25D-695B-A7B0-4FF67C4099D5.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/5817A586-8D4D-CCB2-0530-2813064B9B47.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/F13FCB3C-0A91-6ADA-831E-98BD569FFDA9.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/6441DCC4-50F9-A87C-DC28-9BBE65F46E31.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/womens-crew-logo-t-shirt?data_from=collection_detail,<p>From street to stream to everything in between. slip into the soft. sporty Crew Logo T-Shirt that gives your comfort zone room to roam.</p> <p><b>FABRIC TECH:</b></p><p>52% Cotton / 48% Polyester</p><p>ITEM #: PG-14104</p></div> </li> <br>
SK0000010-US,Flyweight Backpack,New Arrivals/All New Arrivals,189.95,47.49,Color#Smoke~   Size#One Size,mycustom,"""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/A827A58E-1110-C384-CBF4-29BF8B9B405D.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/1082B008-3294-22F5-F658-D36654A6AE3F.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/8174A65F-956B-EDA4-B405-0870072079E1.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/29360E6B-7973-705C-B615-7351831648A2.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/F34381D1-81C6-9603-2628-CFA95EB3D8D5.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/CBAD476D-8040-9E64-E7E7-37F373EB9A68.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/0F02ACC4-A446-60BB-6665-D36AD99342F0.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/867ECDDB-EDD5-27C9-7784-53A7A7AB5317.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/52DDD9D7-4F46-86A5-3D23-8303AC60A82A.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/0FAF5AE6-4953-4CE0-9D30-4BCCC886F67C.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/4CA09283-A70E-F7A7-1E94-989D7175A36E.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/2447689F-1B9D-7693-15E2-DA88A3A1E783.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/01CB05CD-C7A9-D537-189C-4B953FCE8656.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/6BA3D6A1-FF72-78D3-F4D5-682979A5E3F4.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/993D2152-3428-9D53-1E61-D9C3E16E0C1B.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/5E425831-24C9-77C6-6E5F-CD144DC7C954.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/10AC7784-0BF4-A16F-42C5-38366CC2E1AD.jpg"",""https://ssl.ssl-images-jan.com/uploads/139046/cart/resources/20250410/8BCB5DBA-9887-EE00-074A-0B392E92D09A.jpg""",,,https://simms-eu.shop/collections/new-arrivals-all-new-arrivals/products/flyweight-backpack?data_from=collection_detail,<p>Designed for far-ranging anglers who thrive on fast. light progress. the Flyweight Backpack is the all-day on-water gear hauler that puts you comfortably in control.</p><ul><li>Lightweight. ultra-durable and water-resistant 150-denier robic nylon fabric with HDPE yarns built for years of abuse</li><li>The main compartment can be accessed two ways - via front zipper or top access zipper and secure buckle</li><li>Interior sleeve for hydration bladders up to 2L</li><li>Padded. breathable and fully-adjustable harness system features a loop patch for fly storage and a tool docking station</li><li>Dual mesh pockets on the backside offer storage for rod tubes or water bottles</li><li>Stowable stuffit pocket can be deployed from bottom zippered pocket and used as a net holster or gear carrier</li><li><b>﻿Reservoir not included with purchase</b></li></ul><p><b>FABRIC TECH:</b></p><p>150-denier robic nylon with HDPE yarns and DWR coating</p><p><strong>CAPACITY: </strong>25L</p><p><strong>WEIGHT: </strong>1.6lb</p><p>ITEM #: PG-13965</p></div> </li> <br>
